date,nav
2022-08-31,166.7118852726079
2022-09-01,165.48389050744728
2022-09-02,165.3201966406402
2022-09-06,163.63671365582226
2022-09-07,165.86230551923288
2022-09-08,165.7736550932014
2022-09-09,167.87826253420553
2022-09-12,168.93970874332092
2022-09-13,164.5884595192956
2022-09-14,164.9167838726592
2022-09-15,162.60291365552874
2022-09-16,161.84886807419946
2022-09-19,162.66886794820383
2022-09-20,161.0676883924458
2022-09-21,160.4123902324235
2022-09-22,158.71942736142677
2022-09-23,156.20944783052855
2022-09-26,153.82037861620262
2022-09-27,152.89289067793052
2022-09-28,156.9918370367861
2022-09-29,155.05094536490526
2022-09-30,153.52524867970718
2022-10-03,156.6652473494139
2022-10-04,159.45911835848
2022-10-05,159.1978965925527
2022-10-06,158.46177220127123
2022-10-07,156.23069987467161
2022-10-10,154.77674933569395
2022-10-11,154.17726929873845
2022-10-12,154.2003171029702
2022-10-13,155.66415659406715
2022-10-14,153.34339712026147
2022-10-17,154.87395718551443
2022-10-18,155.5549171301192
2022-10-19,154.2688046326312
2022-10-20,153.28453603987205
2022-10-21,154.92937754843643
2022-10-24,155.47872519310278
2022-10-25,157.34896133168277
2022-10-26,157.70020147409846
2022-10-27,157.57442193057176
2022-10-28,158.51568224903576
2022-10-31,157.4987484913358
2022-11-01,157.96504502965848
2022-11-02,156.14656281428736
2022-11-03,155.21039188003772
2022-11-04,157.1916661753435
2022-11-07,157.34319195609848
2022-11-08,158.38776904101047
2022-11-09,156.60214714728593
2022-11-10,162.11703870497755
2022-11-11,163.18644353013013
2022-11-14,162.4758108163129
2022-11-15,163.6124472920506
2022-11-16,163.94907269309925
2022-11-17,163.21541824502708
2022-11-18,162.90252841428332
2022-11-21,162.5577726365142
2022-11-22,163.93742697903255
2022-11-23,164.60169879380962
2022-11-25,164.3565066848078
2022-11-28,163.18907940446212
2022-11-29,163.146831558367
2022-11-30,165.9451383945829
2022-12-01,167.11071697361382
2022-12-02,167.06895340759826
2022-12-05,164.6453071836454
2022-12-06,163.91494951779922
2022-12-07,164.5633037426918
2022-12-08,164.9039639897797
2022-12-09,163.87501922213895
2022-12-12,164.8054154499043
2022-12-13,166.29924670972377
2022-12-14,166.16648680473446
2022-12-15,164.14736218117298
2022-12-16,163.13002676503243
2022-12-19,162.12247155973338
2022-12-20,162.23078660049194
2022-12-21,163.35468097438712
2022-12-22,161.99934519111514
2022-12-23,162.38851583797785
2022-12-27,162.0428668303587
2022-12-28,160.54680335148143
2022-12-29,162.3384397179521
2022-12-30,162.1941660795854
2023-01-03,162.09138590524654
2023-01-04,162.87415859075037
2023-01-05,161.6702721490072
2023-01-06,164.60433832674292
2023-01-09,165.11289826046516
2023-01-10,165.29218411112885
2023-01-11,167.1406133888505
2023-01-12,168.59479861703045
2023-01-13,169.22553983594355
2023-01-17,168.850865493779
2023-01-18,167.97947321776712
2023-01-19,167.96292562330623
2023-01-20,168.95869099184475
2023-01-23,169.94258476970785
2023-01-24,170.2569676808898
2023-01-25,170.40402137502193
2023-01-26,170.98377784962642
2023-01-27,170.66935651376502
2023-01-30,168.73208850805122
2023-01-31,171.1569386669255
2023-02-01,172.58270830502886
2023-02-02,172.97686215996256
2023-02-03,169.62368216265597
2023-02-06,168.9429469769187
2023-02-07,170.6320852064002
2023-02-08,169.82101858979613
2023-02-09,168.0132709614288
2023-02-10,168.38999571155108
2023-02-13,169.63287982224128
2023-02-14,169.6418050362113
2023-02-15,168.8830527127042
2023-02-16,166.90100246674652
2023-02-17,166.77852440051583
2023-02-21,164.0392608848262
2023-02-22,163.57285662177247
2023-02-23,164.58582551781106
2023-02-24,162.70395525381124
2023-02-27,163.3200358747376
2023-02-28,163.39610420137433
2023-03-01,163.4021336983969
2023-03-02,163.77294778960135
2023-03-03,167.01999896510992
2023-03-06,166.50026970728652
2023-03-07,163.79853251285152
2023-03-08,163.8142370879477
2023-03-09,162.09282551539974
2023-03-10,162.91430576899526
2023-03-13,163.56990312047398
2023-03-14,164.10112981597223
2023-03-15,163.74655460925447
2023-03-16,165.42418202750497
2023-03-17,165.78938100352312
2023-03-20,166.6161174778735
2023-03-21,167.01123506366568
2023-03-22,166.50714557972023
2023-03-23,167.20068671214042
2023-03-24,167.65155686696718
2023-03-27,167.25626259318824
2023-03-28,167.48410999723126
2023-03-29,168.88263453359392
2023-03-30,170.44323774618937
2023-03-31,173.19923629384067
2023-04-03,174.91637532798663
2023-04-04,175.05665991852882
2023-04-05,175.3300850004627
2023-04-06,175.57074592343534
2023-04-10,174.75051733126958
2023-04-11,175.3549227978566
2023-04-12,175.20322107989702
2023-04-13,177.10378737161372
2023-04-14,175.7043353702969
2023-04-17,175.30177785107395
2023-04-18,175.8222054347185
2023-04-19,174.9818824483142
2023-04-20,174.38166959918726
2023-04-21,173.76720292433697
2023-04-24,174.69410085006734
2023-04-25,172.76493293668364
2023-04-26,170.86160093817318
2023-04-27,173.3054573283424
2023-04-28,175.68022160848253
2023-05-01,173.7643938445215
2023-05-02,172.92896087483933
2023-05-03,171.8921181320771
2023-05-04,170.861771699711
2023-05-05,173.71677872493862
2023-05-08,173.4310400316995
2023-05-09,172.99465609306012
2023-05-10,173.90157936649942
2023-05-11,173.08446576690827
2023-05-12,172.24689148616184
2023-05-15,172.8000414258591
2023-05-16,170.85936867550808
2023-05-17,172.72476460021912
2023-05-18,172.88319954819377
2023-05-19,172.73827309872436
2023-05-22,172.55033377581051
2023-05-23,171.29306167705494
2023-05-24,169.79601424585508
2023-05-25,169.95149529054834
2023-05-26,172.806059415809
2023-05-30,172.68734680953355
2023-05-31,171.96590157845287
2023-06-01,174.3149333227581
2023-06-02,175.82539548171255
2023-06-05,175.67089926637854
2023-06-06,176.27980574388383
2023-06-07,174.74936422282323
2023-06-08,176.6834143101002
2023-06-09,176.61297143800914
2023-06-12,177.50898120666707
2023-06-13,178.1853477849127
2023-06-14,178.80723913772505
2023-06-15,182.13312628962072
2023-06-16,181.89376653450495
2023-06-20,180.66475422785072
2023-06-21,180.45107728756597
2023-06-22,179.30511102895116
2023-06-23,178.35553660004905
2023-06-26,177.93312911042304
2023-06-27,178.641016409284
2023-06-28,178.66678010130755
2023-06-29,178.44252416082
2023-06-30,181.23662115135375
2023-07-03,181.22001928774947
2023-07-05,180.55013691168148
2023-07-06,178.5463479251619
2023-07-07,178.41754092340892
2023-07-10,178.9520856478838
2023-07-11,180.64694211313343
2023-07-12,183.2122393788022
2023-07-13,185.35602841192636
2023-07-14,184.63802186717663
2023-07-17,184.94520562223616
2023-07-18,187.22285407495232
2023-07-19,188.26231097991317
2023-07-20,186.50064100549747
2023-07-21,186.54687177589923
2023-07-24,187.35998063349604
2023-07-25,188.09500267847065
2023-07-26,188.2435442256138
2023-07-27,185.47492578008186
2023-07-28,187.73591457429927
2023-07-31,188.3748481757042
2023-08-01,186.61750523163207
2023-08-02,183.1975479946665
2023-08-03,182.08043980145328
2023-08-04,182.31663655819509
2023-08-07,183.21129548833167
2023-08-08,182.72292078679314
2023-08-09,181.8768328646609
2023-08-10,181.05269310515595
2023-08-11,180.8463222538358
2023-08-14,181.30424242985947
2023-08-15,178.74084583845075
2023-08-16,176.92135239546073
2023-08-17,175.58599002472658
2023-08-18,176.07353333024977
2023-08-21,176.55559825499915
2023-08-22,176.49881251261846
2023-08-23,179.66293806166846
2023-08-24,177.218124032393
2023-08-25,178.7030738610952
2023-08-28,179.82593979458647
2023-08-29,182.98766948214404
2023-08-30,183.7988836149419
2023-08-31,183.79150011235217
2023-09-01,183.89994747361166
2023-09-05,182.4445312099534
2023-09-06,181.33224599099935
2023-09-07,180.95396456016684
2023-09-08,181.44679515550462
2023-09-11,182.43468829699134
2023-09-12,181.76036863856427
2023-09-13,181.9105086299173
2023-09-14,183.30244198954918
2023-09-15,181.28538079615353
2023-09-18,181.8852434447217
2023-09-19,181.17941880543964
2023-09-20,179.63528817547254
2023-09-21,175.6100195300445
2023-09-22,175.6774771877379
2023-09-25,175.04690645840736
2023-09-26,172.3554858882993
2023-09-27,171.91707784715504
2023-09-28,172.69162447216942
2023-09-29,171.57644787913796
2023-10-02,170.2759296714034
2023-10-03,167.22395058332614
2023-10-04,167.9207475257624
2023-10-05,167.46235381700035
2023-10-06,169.01257764762573
2023-10-09,172.1498188737129
2023-10-10,172.83864211121076
2023-10-11,174.33082854298232
2023-10-12,172.18191524853643
2023-10-13,174.14806655570254
2023-10-16,174.90480253576908
2023-10-17,174.6349545621406
2023-10-18,173.12910057800448
2023-10-19,171.7934180520837
2023-10-20,170.01422508647656
2023-10-23,169.88818124764728
2023-10-24,171.19941597702953
2023-10-25,168.61239151597346
2023-10-26,167.15914266541714
2023-10-27,167.21230361083948
2023-10-30,168.0900377368803
2023-10-31,168.48201050252501
2023-11-01,170.77709837094346
2023-11-02,174.9602759786856
2023-11-03,176.60384935481503
2023-11-06,176.40280418481495
2023-11-07,176.2424101067305
2023-11-08,176.0199603676393
2023-11-09,174.35492806405625
2023-11-10,176.2618411649349
2023-11-13,176.83893472890057
2023-11-14,180.556862419892
2023-11-15,180.02866161028177
2023-11-16,180.18873967017217
2023-11-17,181.12542578718566
2023-11-20,182.7472668902129
2023-11-21,183.13278831369806
2023-11-22,183.26876482288856
2023-11-24,182.963359271624
2023-11-27,183.32968399978282
2023-11-28,184.24245959447217
2023-11-29,184.98975823305477
2023-11-30,184.2810371072458
2023-12-01,186.33394390463016
2023-12-04,184.61382365334708
2023-12-05,185.28274377884463
2023-12-06,185.41200172677088
2023-12-07,185.81106487369988
2023-12-08,185.18824484801544
2023-12-11,184.78665464125586
2023-12-12,184.97797806523357
2023-12-13,189.36243470403534
2023-12-14,191.67527570318052
2023-12-15,191.11146789701291
2023-12-18,192.2160958390861
2023-12-19,194.03983058141702
2023-12-20,191.08332840470035
2023-12-21,192.95004286288517
2023-12-22,193.24789895531973
2023-12-26,194.66446481100718
2023-12-27,195.67634684895134
2023-12-28,195.09380192852615
2023-12-29,193.99185510772236
2024-01-02,192.41365090957166
2024-01-03,191.08275663013367
2024-01-04,189.8790663729993
2024-01-05,189.97090362206828
2024-01-08,192.32193038925084
2024-01-09,192.07465451167795
2024-01-10,192.75155471589017
2024-01-11,193.07970838749216
2024-01-12,193.56313120674446
2024-01-16,191.75786645053063
2024-01-17,190.14102786106798
2024-01-18,191.86529921097932
2024-01-19,194.13731385165065
2024-01-22,194.75883117599165
2024-01-23,195.2612195216379
2024-01-24,195.1226914193892
2024-01-25,196.73754011265873
2024-01-26,196.5921364052743
2024-01-29,198.4667226317518
2024-01-30,199.02049124808315
2024-01-31,196.27667653889517
2024-02-01,199.2838455495853
2024-02-02,199.35708145840934
2024-02-05,197.74786844136716
2024-02-06,199.00960373120918
2024-02-07,200.34963110944352
2024-02-08,200.4107354384776
2024-02-09,201.23668103695013
2024-02-12,201.11533979818847
2024-02-13,197.15671801569465
2024-02-14,198.4508281674608
2024-02-15,200.31070712383004
2024-02-16,199.47305696659384
2024-02-20,198.64075120357265
2024-02-21,198.69033478381567
2024-02-22,202.55952728294952
2024-02-23,202.97147358497284
