Date,GLD,IEF,LQD,PDBC,SPY,TLT,^VIX
2018-05-02,123.6500015258789,84.07991790771484,86.3425064086914,9.041451454162598,232.58749389648438,94.53919219970703,15.970000267028809
2018-05-03,124.27999877929688,84.29556274414062,86.35759735107422,9.105751037597656,232.07493591308594,94.96279907226562,15.899999618530273
2018-05-04,124.54000091552734,84.30390930175781,86.47830200195312,9.170051574707031,235.07949829101562,95.10667419433594,14.770000457763672
2018-05-07,124.56999969482422,84.26242065429688,86.38021850585938,9.165104866027832,235.87477111816406,94.95482635498047,14.75
2018-05-08,124.58999633789062,84.12139892578125,86.35002899169922,9.194781303405762,235.87477111816406,94.86689758300781,14.710000038146973
2018-05-09,124.33000183105469,83.93062591552734,86.33497619628906,9.268973350524902,238.1547393798828,94.29937744140625,13.420000076293945
2018-05-10,125.18000030517578,84.10481262207031,86.77236938476562,9.29370403289795,240.381591796875,95.05870819091797,13.229999542236328
2018-05-11,125.0,84.11314392089844,86.92317962646484,9.254133224487305,241.11509704589844,95.29850006103516,12.649999618530273
2018-05-14,124.48999786376953,83.93062591552734,86.76482391357422,9.308540344238281,241.2300262451172,94.79492950439453,12.930000305175781
2018-05-15,122.4800033569336,83.46614837646484,86.10871887207031,9.318432807922363,239.56866455078125,93.71590423583984,14.630000114440918
2018-05-16,122.29000091552734,83.29196166992188,85.99555206298828,9.367895126342773,240.5760040283203,93.35629272460938,13.420000076293945
2018-05-17,122.36000061035156,83.24220275878906,85.82969665527344,9.377785682678223,240.3727569580078,92.8846664428711,13.430000305175781
2018-05-18,122.41000366210938,83.565673828125,86.18414306640625,9.387679100036621,239.77188110351562,93.68392181396484,13.420000076293945
2018-05-21,122.4800033569336,83.62369537353516,86.2369155883789,9.466815948486328,241.57461547851562,93.73190307617188,13.079999923706055
2018-05-22,122.41000366210938,83.590576171875,86.14639282226562,9.476707458496094,240.9030303955078,93.5880126953125,13.220000267028809
2018-05-23,122.54000091552734,83.97212219238281,86.51597595214844,9.516277313232422,241.56573486328125,94.26740264892578,12.579999923706055
2018-05-24,123.58999633789062,84.18779754638672,86.75729370117188,9.456924438476562,241.07089233398438,95.01872253417969,12.529999732971191
2018-05-25,123.20999908447266,84.51956939697266,87.01373291015625,9.333272933959961,240.4964599609375,95.61021423339844,13.220000267028809
2018-05-29,123.19000244140625,85.43193054199219,87.47369384765625,9.244242668151855,237.73057556152344,97.70437622070312,17.020000457763672
2018-05-30,123.37000274658203,85.06696319580078,87.13436889648438,9.34811019897461,240.9030303955078,97.0489273071289,14.9399995803833
2018-05-31,123.0999984741211,85.02548217773438,87.09662628173828,9.318432807922363,239.42726135253906,96.88905334472656,15.430000305175781
2018-06-01,122.48999786376953,84.71135711669922,86.92947387695312,9.249188423156738,241.77786254882812,96.37715148925781,13.460000038146973
2018-06-04,122.37000274658203,84.41220092773438,86.73278045654297,9.15026569366455,242.92666625976562,95.68013000488281,12.739999771118164
2018-06-05,122.8499984741211,84.6282730102539,86.79330444335938,9.140374183654785,243.1033477783203,95.90445709228516,12.399999618530273
2018-06-06,122.91999816894531,84.28750610351562,86.47557067871094,9.165104866027832,245.1359100341797,95.12738037109375,11.640000343322754
2018-06-07,122.86000061035156,84.64483642578125,86.7630386352539,9.219511032104492,245.10939025878906,96.0486831665039,12.130000114440918
2018-06-08,123.01000213623047,84.52849578857422,86.61929321289062,9.21456527709961,245.833984375,95.76026153564453,12.180000305175781
2018-06-11,123.2300033569336,84.44540405273438,86.53607940673828,9.194781303405762,246.16098022460938,95.58403015136719,12.350000381469727
2018-06-12,122.81999969482422,84.39556121826172,86.54364013671875,9.194781303405762,246.4790496826172,95.60806274414062,12.34000015258789
2018-06-13,123.19000244140625,84.29583740234375,86.46041870117188,9.234350204467773,245.6925506591797,95.56002044677734,12.9399995803833
2018-06-14,123.37999725341797,84.56178283691406,86.85382080078125,9.135428428649902,246.31117248535156,96.35311126708984,12.119999885559082
2018-06-15,121.33999633789062,84.6282730102539,86.73278045654297,8.90790843963623,245.9969482421875,96.44123840332031,11.979999542236328
2018-06-18,121.11000061035156,84.6697769165039,86.64196014404297,8.982100486755371,245.490966796875,96.35311126708984,12.3100004196167
2018-06-19,120.80000305175781,84.89417266845703,86.68737030029297,8.902960777282715,244.55007934570312,96.91388702392578,13.350000381469727
2018-06-20,120.26000213623047,84.61998748779297,86.2032241821289,8.883177757263184,244.96731567382812,96.06466674804688,12.789999961853027
2018-06-21,120.05000305175781,84.84432220458984,86.1351318359375,8.823823928833008,243.4315948486328,96.56942749023438,14.640000343322754
2018-06-22,120.33999633789062,84.86096954345703,86.24105072021484,9.001884460449219,243.8754425048828,96.5614013671875,13.770000457763672
2018-06-25,119.88999938964844,84.9772720336914,86.15782928466797,8.902960777282715,240.55563354492188,96.7777099609375,17.329999923706055
2018-06-26,119.26000213623047,85.01885223388672,86.4452896118164,8.987045288085938,241.08824157714844,96.91388702392578,15.920000076293945
