date,regime_hmm,regime_composite,w_SPY,w_TLT,w_GLD,w_PDBC,gross_exposure,target_vol,realized_port_vol,nav,daily_return,rebalanced,turnover,cost,p_risk_on,p_neutral,p_risk_off
2018-01-16,RISK_ON,RISK_ON,0.933327655175929,0.26017299640881636,0.16906388968329158,0.13743545873196317,1.5,0.15,0.07198286133035305,133.36236168893151,-0.0026690443406678257,False,0.0,0.0,0.9999674217501632,3.254508924738729e-05,3.3160387588772775e-08
2018-01-17,RISK_ON,RISK_ON,0.8613393438710917,0.21569977630832576,0.2148764158170738,0.2080844640035087,1.4999999999999998,0.15,0.07893473297193276,134.2017268276247,0.006410329816753865,True,0.23292306281065564,0.00011646153140532782,1.0348545841056056e-05,0.9999896514526655,1.4587752236909738e-12
2018-01-18,RISK_ON,RISK_ON,0.8613393438710917,0.21569977630832576,0.2148764158170738,0.2080844640035087,1.4999999999999998,0.15,0.07740128793129762,133.65888383186834,-0.004044977725611604,False,0.0,0.0,0.9999778940420174,2.1557815170515694e-05,5.481426127063131e-07
2018-01-19,RISK_ON,RISK_ON,0.8613393438710917,0.21569977630832576,0.2148764158170738,0.2080844640035087,1.4999999999999998,0.15,0.07901819921506296,134.08080785194173,0.0031567226059147514,False,0.0,0.0,5.0696747684574875e-06,0.9999949303247646,3.354505273864203e-13
2018-01-22,RISK_ON,RISK_ON,0.8613393438710917,0.21569977630832576,0.2148764158170738,0.2080844640035087,1.4999999999999998,0.15,0.07821764527358693,135.19480500728997,0.008308401278267711,False,0.0,0.0,0.9999809811641699,1.9005900967451187e-05,1.2934866017561881e-08
2018-01-23,RISK_ON,RISK_ON,0.8613393438710917,0.21569977630832576,0.2148764158170738,0.2080844640035087,1.4999999999999998,0.15,0.07681262051034754,135.94888238768138,0.005577709737817014,False,0.0,0.0,3.2591418719339443e-06,0.9999967408578773,7.423295677038325e-14
2018-01-24,RISK_ON,RISK_ON,0.8613393438710917,0.21569977630832576,0.2148764158170738,0.2080844640035087,1.4999999999999998,0.15,0.08113186779173398,136.36811181647707,0.0030837283943252955,False,0.0,0.0,0.9999465680949392,5.3430234413872396e-05,1.670472208026717e-09
2018-01-25,RISK_ON,RISK_ON,0.8613393438710917,0.21569977630832576,0.2148764158170738,0.2080844640035087,1.4999999999999998,0.15,0.08158118172337761,136.3541724031752,-0.00010221900938712743,False,0.0,0.0,3.25613863150982e-06,0.9999967438614737,6.134514563376218e-16
2018-01-26,RISK_ON,RISK_ON,0.8613393438710917,0.21569977630832576,0.2148764158170738,0.2080844640035087,1.4999999999999998,0.15,0.07998321422171485,137.83199569346127,0.010838122986925616,False,0.0,0.0,0.9999613940016296,3.8605939900797506e-05,5.857914002351355e-11
2018-01-29,RISK_ON,RISK_ON,0.8613393438710917,0.21569977630832576,0.2148764158170738,0.2080844640035087,1.4999999999999998,0.15,0.0775479159791421,136.57695835908575,-0.009105558749702347,False,0.0,0.0,4.173261227974424e-06,0.9999958267386088,1.994826313364006e-16
2018-01-30,RISK_ON,RISK_ON,0.8613393438710917,0.21569977630832576,0.2148764158170738,0.2080844640035087,1.4999999999999998,0.15,0.08606944122842682,134.8747461570314,-0.012463392233255826,False,0.0,0.0,0.999830197892397,0.00016980210734936598,1.1606605589642573e-13
2018-01-31,RISK_ON,RISK_ON,0.8613393438710917,0.21569977630832576,0.2148764158170738,0.2080844640035087,1.4999999999999998,0.15,0.0906919661560004,135.29060041521979,0.003083262582783336,False,0.0,0.0,2.06414247843349e-05,0.9999793585750347,7.626397973793707e-17
2018-02-01,RISK_ON,RISK_ON,0.7529978472602388,0.2931177483566952,0.21770477503587177,0.23617962934719416,1.5,0.15,0.09548252581251003,134.91328175186808,-0.0026806080844662605,True,0.21668299322170576,0.00010834149661085288,0.9999303960712763,6.957893272240974e-05,2.499613041941061e-08
2018-02-02,RISK_ON,RISK_ON,0.7529978472602388,0.2931177483566952,0.21770477503587177,0.23617962934719416,1.5,0.15,0.09356166088940612,131.43977363545812,-0.025746228031117254,False,0.0,0.0,2.1045846003835094e-05,0.9999789541529985,1.0113260062201205e-12
2018-02-05,RISK_ON,RISK_ON,0.7529978472602388,0.2931177483566952,0.21770477503587177,0.23617962934719416,1.5,0.15,0.09132567558491234,127.40634232441434,-0.030686535737883346,False,0.0,0.0,0.9999513151816062,4.83674969931855e-05,3.173212145071836e-07
2018-02-06,RISK_ON,RISK_ON,0.6980848698171443,0.3164284807725694,0.24655112741225998,0.23893552199802648,1.5000000000000002,0.15,0.13167678020935356,128.45075695540868,0.008252421923543564,True,0.10982595488618918,5.4912977443094595e-05,0.00010025378315286095,0.9646127940007878,0.03528695221597907
2018-02-07,RISK_ON,RISK_ON,0.5276445336899199,0.37624483712351703,0.3136939544441502,0.2824166747424129,1.5,0.15,0.14663688920889278,126.89639869477196,-0.011930370102664551,True,0.3408806722544487,0.00017044033612722434,0.9999999589908848,4.100874774642281e-08,3.199592309780884e-23
2018-02-08,RISK_ON,RISK_ON,0.5276445336899199,0.37624483712351703,0.3136939544441502,0.2824166747424129,1.5,0.15,0.14282614703131552,124.09346971606176,-0.02208832565415962,False,0.0,0.0,3.221543356848352e-05,0.9999674834046213,3.01162154414016e-07
2018-02-09,RISK_ON,RISK_ON,0.5276445336899199,0.37624483712351703,0.3136939544441502,0.2824166747424129,1.5,0.15,0.1461099715083024,124.1761688617559,0.00066642625017551,False,0.0,0.0,0.7518107984122653,8.434784858521145e-08,0.24818911724031684
2018-02-12,RISK_ON,RISK_ON,0.5276445336899199,0.37624483712351703,0.3136939544441502,0.2824166747424129,1.5,0.15,0.16645675310281455,125.67672876860482,0.01208412145908191,False,0.0,0.0,0.8970087696916609,0.10299123029395267,1.4194938796921721e-11
2018-02-13,RISK_ON,RISK_ON,0.5276445336899199,0.37624483712351703,0.3136939544441502,0.2824166747424129,1.5,0.15,0.16140079437424912,126.40184095928484,0.00576966155775022,False,0.0,0.0,0.9376074601082207,0.062392478689683985,6.12017676966925e-08
2018-02-14,RISK_ON,RISK_ON,0.5276445336899199,0.37624483712351703,0.3136939544441502,0.2824166747424129,1.5,0.15,0.16331276935970288,127.99492478283288,0.012603327700434354,False,0.0,0.0,0.20332961107422812,0.40382263936640544,0.39284774955913243
2018-02-15,RISK_ON,RISK_ON,0.5276445336899199,0.37624483712351703,0.3136939544441502,0.2824166747424129,1.5,0.15,0.15991250394697196,129.21354093810425,0.009520816214697383,False,0.0,0.0,0.0031853232974555718,0.0005417102911039307,0.9962729664115019
2018-02-16,RISK_ON,NEUTRAL,0.5276445336899199,0.37624483712351703,0.3136939544441502,0.2824166747424129,1.5,0.15,0.16242883028232233,129.4484083034399,0.0018176683622357604,False,0.0,0.0,2.7596440570001446e-19,3.3474854351928513e-18,1.0
2018-02-20,RISK_OFF,NEUTRAL,0.05733946342513109,0.4285250175273627,0.254734381282918,0.03486348790170377,0.7754623501371156,0.06,0.060000000000000005,128.66462083524672,-0.005640276067182335,True,0.829098010670576,0.000414549005335288,1.803793246871732e-21,1.177263530107794e-22,1.0
2018-02-21,RISK_OFF,NEUTRAL,0.05733946342513109,0.4285250175273627,0.254734381282918,0.03486348790170377,0.7754623501371156,0.06,0.05849522315221315,127.7957681961459,-0.006752848090333863,False,0.0,0.0,2.1474872360433688e-19,1.3329405356294827e-20,1.0
2018-02-22,RISK_OFF,RISK_ON,0.05733946342513109,0.4285250175273627,0.254734381282918,0.03486348790170377,0.7754623501371156,0.06,0.060846263354276516,128.18386498908004,0.003036851676797883,False,0.0,0.0,2.2168098872763523e-14,2.8777179482829374e-16,1.0
2018-02-23,RISK_OFF,RISK_ON,0.05733946342513109,0.4285250175273627,0.254734381282918,0.03486348790170377,0.7754623501371156,0.06,0.06462954749400569,128.77546126043427,0.0046152163644357525,False,0.0,0.0,8.14726019794459e-17,3.793426837566757e-19,1.0
2018-02-26,RISK_OFF,RISK_ON,0.05733946342513109,0.4285250175273627,0.254734381282918,0.03486348790170377,0.7754623501371156,0.06,0.06375838615443026,128.9807910949744,0.0015944795113168536,False,0.0,0.0,4.257052139599982e-20,4.413943794390793e-22,1.0
2018-02-27,RISK_OFF,RISK_ON,0.05733946342513109,0.4285250175273627,0.254734381282918,0.03486348790170377,0.7754623501371156,0.06,0.06434142189465093,128.4179398221714,-0.004363837963968872,False,0.0,0.0,1.735887251349679e-25,1.769895727510861e-25,1.0
2018-02-28,RISK_OFF,NEUTRAL,0.05733946342513109,0.4285250175273627,0.254734381282918,0.03486348790170377,0.7754623501371156,0.06,0.06268676306342208,128.60825988354108,0.0014820364010919972,False,0.0,0.0,3.2477361251848216e-28,1.597644238619318e-26,1.0
2018-03-01,RISK_OFF,NEUTRAL,0.05733946342513109,0.4285250175273627,0.254734381282918,0.03486348790170377,0.7754623501371156,0.06,0.06312331315622043,128.8115924917196,0.001581022932451423,False,0.0,0.0,5.060357813975828e-19,2.5418533825768296e-19,1.0
2018-03-02,RISK_OFF,NEUTRAL,0.05733946342513109,0.4285250175273627,0.254734381282918,0.03486348790170377,0.7754623501371156,0.06,0.061465972720061116,128.5720316695455,-0.0018597768845182935,False,0.0,0.0,4.366955641579758e-12,3.8486872311905594e-13,0.9999999999954525
2018-03-05,RISK_OFF,NEUTRAL,0.05733946342513109,0.4285250175273627,0.254734381282918,0.03486348790170377,0.7754623501371156,0.06,0.059903086571708064,128.4868919974275,-0.0006621943436097824,False,0.0,0.0,0.9432419661982775,0.016766592174394766,0.039991441627145366
2018-03-06,RISK_OFF,NEUTRAL,0.05733946342513109,0.4285250175273627,0.254734381282918,0.03486348790170377,0.7754623501371156,0.06,0.058535713543373794,128.92007631792683,0.0033714281181926545,False,0.0,0.0,3.967648806428589e-09,4.473224820330019e-05,0.9999552637839543
2018-03-07,RISK_OFF,NEUTRAL,0.05733946342513109,0.4285250175273627,0.254734381282918,0.03486348790170377,0.7754623501371156,0.06,0.05681204976663421,128.59265861861337,-0.002539695202367304,False,0.0,0.0,6.8856758636475994e-12,1.0214033685107106e-11,0.9999999999827196
2018-03-08,RISK_OFF,NEUTRAL,0.05733946342513109,0.4285250175273627,0.254734381282918,0.03486348790170377,0.7754623501371156,0.06,0.056606285469455744,128.84705055516588,0.0019782772926952756,False,0.0,0.0,1.2156772523671745e-10,1.049407841978065e-09,0.9999999988285708
2018-03-09,RISK_OFF,NEUTRAL,0.05733946342513109,0.4285250175273627,0.254734381282918,0.03486348790170377,0.7754623501371156,0.06,0.055768777558522636,128.68574569771397,-0.001251909583936218,False,0.0,0.0,7.537243918641673e-12,1.900134511251948e-10,0.9999999998026396
2018-03-12,RISK_OFF,NEUTRAL,0.05733946342513109,0.4285250175273627,0.254734381282918,0.03486348790170377,0.7754623501371156,0.06,0.05460945154939638,128.9739475874516,0.0022395789694890536,False,0.0,0.0,4.758204566802028e-21,9.618599539070127e-19,1.0
2018-03-13,RISK_OFF,NEUTRAL,0.05733946342513109,0.4285250175273627,0.254734381282918,0.03486348790170377,0.7754623501371156,0.06,0.05317613339974386,129.26342326550102,0.0022444507861027188,False,0.0,0.0,1.0979005350281836e-29,2.5205883246924707e-25,1.0
2018-03-14,RISK_OFF,NEUTRAL,0.05733946342513109,0.4285250175273627,0.254734381282918,0.03486348790170377,0.7754623501371156,0.06,0.05228163108993966,129.6950091636253,0.0033388091327103808,False,0.0,0.0,2.3885131250303586e-27,1.4903843719844366e-22,1.0
2018-03-15,RISK_OFF,NEUTRAL,0.05733946342513109,0.4285250175273627,0.254734381282918,0.03486348790170377,0.7754623501371156,0.06,0.05143004825758001,129.4688277587224,-0.0017439484091291456,False,0.0,0.0,2.6941097268060873e-29,3.6855722916342214e-25,1.0
2018-03-16,RISK_OFF,RISK_ON,0.05733946342513109,0.4285250175273627,0.254734381282918,0.03486348790170377,0.7754623501371156,0.06,0.05150876343991276,129.22529080298705,-0.001881047043920178,False,0.0,0.0,1.0363847718191635e-30,3.2203279720416684e-27,1.0
2018-03-19,RISK_OFF,RISK_ON,0.05733946342513109,0.4285250175273627,0.254734381282918,0.03486348790170377,0.7754623501371156,0.06,0.05040066663048663,128.99489137900977,-0.0017829282684961622,False,0.0,0.0,7.466551677651632e-34,7.7378503043463395e-31,1.0
2018-03-20,RISK_OFF,RISK_ON,0.05733946342513109,0.4285250175273627,0.254734381282918,0.03486348790170377,0.7754623501371156,0.06,0.04941200832898229,128.65868619116952,-0.0026063449819297164,False,0.0,0.0,3.063625566162425e-41,3.344166685637769e-38,1.0
2018-03-21,RISK_OFF,RISK_ON,0.05733946342513109,0.4285250175273627,0.254734381282918,0.03486348790170377,0.7754623501371156,0.06,0.048410580158504454,129.3722291960932,0.005546015011092734,False,0.0,0.0,3.878159867240221e-37,5.290909946013201e-36,1.0
2018-03-22,RISK_OFF,RISK_ON,0.05733946342513109,0.4285250175273627,0.254734381282918,0.03486348790170377,0.7754623501371156,0.06,0.048022832597394274,129.57036786018102,0.0015315393830579588,False,0.0,0.0,1.018151440089461e-39,1.8170141506290714e-38,1.0
2018-03-23,RISK_OFF,RISK_ON,0.05733946342513109,0.4285250175273627,0.254734381282918,0.03486348790170377,0.7754623501371156,0.06,0.05123594288778279,129.8384858267853,0.0020692845982626163,False,0.0,0.0,1.430608187979585e-38,1.563607097001452e-37,1.0
2018-03-26,RISK_OFF,RISK_ON,0.05733946342513109,0.4285250175273627,0.254734381282918,0.03486348790170377,0.7754623501371156,0.06,0.0500115260986416,129.99776042123221,0.001226713277135841,False,0.0,0.0,4.541045743512018e-21,1.7046602710028788e-22,1.0
2018-03-27,RISK_OFF,RISK_ON,0.05733946342513109,0.4285250175273627,0.254734381282918,0.03486348790170377,0.7754623501371156,0.06,0.04912840103704698,130.2448002960437,0.0019003394674723694,False,0.0,0.0,8.157935805291477e-19,1.1735978111685458e-21,1.0
2018-03-28,RISK_OFF,RISK_ON,0.07199549051657365,0.5855742889629002,0.2757940882701577,0.03929336140331523,0.9726572291529467,0.06,0.060000000000000005,129.88988606836227,-0.002626380654624898,True,0.19719487901583124,9.859743950791562e-05,2.0213556607284498e-30,4.8961442648393927e-32,1.0
2018-03-29,RISK_OFF,RISK_ON,0.07199549051657365,0.5855742889629002,0.2757940882701577,0.03929336140331523,0.9726572291529467,0.06,0.05943469020094235,130.43398208659886,0.0041889021132117685,False,0.0,0.0,8.451917019335589e-31,1.570735170469851e-34,1.0
2018-04-02,RISK_OFF,NEUTRAL,0.07199549051657365,0.5855742889629002,0.2757940882701577,0.03929336140331523,0.9726572291529467,0.06,0.058541958949014164,130.74182920073156,0.002360175693542024,False,0.0,0.0,1.4084570451282039e-25,1.0078686795475139e-28,1.0
2018-04-03,RISK_OFF,NEUTRAL,0.07199549051657365,0.5855742889629002,0.2757940882701577,0.03929336140331523,0.9726572291529467,0.06,0.05903467261267791,130.0116875595957,-0.005584606285527999,False,0.0,0.0,7.458650321386682e-31,1.7389120956958376e-32,1.0
2018-04-04,RISK_OFF,NEUTRAL,0.07199549051657365,0.5855742889629002,0.2757940882701577,0.03929336140331523,0.9726572291529467,0.06,0.05794315361820374,129.99126283275743,-0.00015709915948071244,False,0.0,0.0,8.424415716640446e-19,1.5502496340989056e-21,1.0
2018-04-05,RISK_OFF,NEUTRAL,0.07199549051657365,0.5855742889629002,0.2757940882701577,0.03929336140331523,0.9726572291529467,0.06,0.060273007113077856,129.33352435127767,-0.0050598668490973,False,0.0,0.0,2.041792492438982e-26,2.072188948421403e-28,1.0
2018-04-06,RISK_OFF,RISK_ON,0.07199549051657365,0.5855742889629002,0.2757940882701577,0.03929336140331523,0.9726572291529467,0.06,0.05844027362800775,130.08119685544762,0.005780964432232,False,0.0,0.0,2.2826320768511993e-32,6.581814040745756e-34,1.0
2018-04-09,RISK_OFF,RISK_ON,0.07199549051657365,0.5855742889629002,0.2757940882701577,0.03929336140331523,0.9726572291529467,0.06,0.06000763078865466,130.4452752107816,0.0027988545934012022,False,0.0,0.0,1.766846914123917e-35,2.0474911874639745e-36,1.0
2018-04-10,RISK_OFF,RISK_ON,0.07199549051657365,0.5855742889629002,0.2757940882701577,0.03929336140331523,0.9726572291529467,0.06,0.062291401864267015,130.62782543735523,0.0013994391615843285,False,0.0,0.0,1.1817712572999454e-27,1.0806276925139844e-30,1.0
2018-04-11,RISK_OFF,RISK_ON,0.07199549051657365,0.5855742889629002,0.2757940882701577,0.03929336140331523,0.9726572291529467,0.06,0.061361753555444896,131.16486911763337,0.004111250252234221,False,0.0,0.0,9.368937127009194e-27,1.4865366683729713e-29,1.0
2018-04-12,RISK_OFF,RISK_ON,0.07199549051657365,0.5855742889629002,0.2757940882701577,0.03929336140331523,0.9726572291529467,0.06,0.05973504219548247,130.2478817035381,-0.0069911053185505905,False,0.0,0.0,2.9809476739318428e-36,1.3505086911263055e-38,1.0
2018-04-13,RISK_OFF,RISK_ON,0.07199549051657365,0.5855742889629002,0.2757940882701577,0.03929336140331523,0.9726572291529467,0.06,0.06006681722525804,130.63853187423538,0.0029992823344833683,False,0.0,0.0,1.0764225747754478e-35,1.536706358996816e-38,1.0
